# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.99239403	-4.2200554e-09	3e-45	0.099	0	0
0	0.9923326	-3.2014214e-09	3e-45	0.098	0	0
0	0.99227065	-2.066372e-09	3e-45	0.097	0	0
0	0.99220806	-3.2305252e-09	3e-45	0.096	0	0
0	0.99214494	-4.598405e-09	3e-45	0.095	0	0
0	0.9920813	-6.2573235e-09	3e-45	0.094	0	0
0	0.992017	-5.2095857e-09	3e-45	0.093	0	0
0	0.9919521	-2.9394869e-09	3e-45	0.092	0	0
0	0.9918866	-3.783498e-09	-0	0.091	0	0
0	0.9918206	-5.5588316e-09	3e-45	0.09	0	0
0	0.9917538	-5.3842086e-09	3e-45	0.089	0	0
0	0.9916865	-6.8102963e-09	3e-45	0.088	0	0
0	0.99161863	-6.1118044e-09	3e-45	0.087	0	0
0	0.9915501	-5.2677933e-09	3e-45	0.086	0	0
0	0.99148095	-6.6356733e-09	3e-45	0.085	0	0
0	0.99141115	-6.315531e-09	1e-45	0.084	0	0
0	0.99134064	-1.0011718e-08	4e-45	0.083	0	0
0	0.9912696	-9.429641e-09	3e-45	0.082	0	0
0	0.9911978	-8.731149e-09	3e-45	0.081	0	0
0	0.9911255	-9.924406e-09	3e-45	0.08	0	0
0	0.99105245	-1.4086254e-08	3e-45	0.079	0	0
0	0.9909787	-1.36496965e-08	1e-45	0.078	0	0
0	0.9909043	-1.3184035e-08	3e-45	0.077	0	0
0	0.9908292	-1.4319085e-08	3e-45	0.076	0	0
0	0.9907535	-1.6647391e-08	3e-45	0.075	0	0
0	0.990677	-1.7666025e-08	3e-45	0.074	0	0
0	0.9905999	-1.7869752e-08	3e-45	0.073	0	0
0	0.990522	-2.12749e-08	3e-45	0.072	0	0
0	0.9904434	-2.3515895e-08	3e-45	0.071	0	0
0	0.9903641	-2.7444912e-08	3e-45	0.07	0	0
0	0.9902841	-2.8172508e-08	3e-45	0.069	0	0
0	0.9902034	-3.0646333e-08	1e-45	0.068	0	0
0	0.9901219	-3.2567186e-08	3e-45	0.067	0	0
0	0.9900397	-3.7427526e-08	3e-45	0.066	0	0
0	0.9899567	-4.4092303e-08	3e-45	0.065	0	0
0	0.98987293	-4.6711648e-08	3e-45	0.064	0	0
0	0.9897884	-5.1542884e-08	3e-45	0.063	0	0
0	0.9897032	-5.9022568e-08	3e-45	0.062	0	0
0	0.9896171	-6.877235e-08	3e-45	0.061	0	0
0	0.9895303	-7.9657184e-08	3e-45	0.06	0	0
0	0.9894427	-8.684583e-08	3e-45	0.059	0	0
0	0.9893543	-1.0133954e-07	3e-45	0.058	0	0
