# t (s)	mx ()	my ()	mz ()
4.201776088814165e-10	0.81788033	-0.22909467	0.16264124
4.300956209595706e-10	0.7641633	-0.46951884	0.14181754
4.4025410232917907e-10	0.65286237	-0.67759275	0.10109601
4.5008585148009584e-10	0.51318043	-0.78435177	0.057492353
4.600122183423012e-10	0.3992995	-0.8153741	0.011146038
4.702236064030584e-10	0.33798498	-0.81636435	-0.036192182
4.800598314712208e-10	0.349124	-0.805469	-0.07515606
4.900228693747517e-10	0.42847005	-0.77467245	-0.10450245
5.002191066345834e-10	0.54152286	-0.7109525	-0.1277638
5.102342489414053e-10	0.6505703	-0.6327542	-0.14632043
5.200176450729945e-10	0.75218123	-0.5414537	-0.16716431
5.30017675448456e-10	0.8287599	-0.38709447	-0.19167984
5.401843063378058e-10	0.8391516	-0.15644991	-0.20478664
5.501196622310827e-10	0.7776503	0.09113227	-0.20784092
5.601850734451368e-10	0.6564735	0.29939657	-0.20048243
5.701086674897527e-10	0.5495305	0.4597123	-0.18068144
5.801053473971619e-10	0.45708	0.6370391	-0.14781657
5.901367402300784e-10	0.3595724	0.80073386	-0.116296425
6.000983050668026e-10	0.23824751	0.8374212	-0.09316849
6.100770860174096e-10	0.10929236	0.7453085	-0.07814155
6.200860056817788e-10	0.036533512	0.6434826	-0.07180937
6.301649585757382e-10	-0.034169577	0.6004112	-0.060811616
6.40130445685974e-10	-0.15998143	0.57811683	-0.058105852
6.50249848026454e-10	-0.31368238	0.577892	-0.06974789
6.601573398219727e-10	-0.4656919	0.6213633	-0.06813939
6.70024615446759e-10	-0.6175826	0.6334284	-0.08025203
6.802236219766773e-10	-0.706382	0.5231938	-0.10213995
6.900339132701348e-10	-0.73954785	0.34087187	-0.10683161
7.001344552274342e-10	-0.7677967	0.1472693	-0.1015217
7.101798965610552e-10	-0.79416156	0.015060964	-0.10105266
7.200800104279052e-10	-0.8222225	-0.08584112	-0.096952744
7.301003371434129e-10	-0.8635063	-0.2100737	-0.08011697
7.401444155805862e-10	-0.899763	-0.2944363	-0.058197916
7.501510038302496e-10	-0.8849957	-0.32572806	-0.028533718
7.600334358390052e-10	-0.8502309	-0.32200596	0.0056471936
7.701970283146048e-10	-0.8380642	-0.2884215	0.032203287
7.801988910139244e-10	-0.8526252	-0.2524365	0.04330063
7.90072376321638e-10	-0.9005142	-0.21159655	0.043392256
8.001171839763393e-10	-0.94500715	-0.16031621	0.04391756
8.101279207787382e-10	-0.9653449	-0.11024824	0.0510008
8.20203644209723e-10	-0.9771519	-0.06393684	0.058033895
8.300412312424457e-10	-0.9732931	-0.017033163	0.057642687
8.402024798809455e-10	-0.96529084	0.028956389	0.045052618
8.501444733802135e-10	-0.9683279	0.06146189	0.03160585
8.601924606378796e-10	-0.97205544	0.08312663	0.028749548
8.70220122134065e-10	-0.97809035	0.1010497	0.030018913
8.800710706754747e-10	-0.9847353	0.11541414	0.025269989
8.902247033391592e-10	-0.9851948	0.115371004	0.013497852
9.00186223555496e-10	-0.9866381	0.099623695	-0.00033595663
9.100305980743824e-10	-0.9896507	0.071584225	-0.00931907
9.200850779900895e-10	-0.98857504	0.032948393	-0.010497647
9.300376972124108e-10	-0.9890738	-0.0042316383	-0.0076065
9.402292701353592e-10	-0.9916368	-0.03659294	-0.004320707
9.502072232180291e-10	-0.99219286	-0.06313423	-0.0021496108
9.602427365324605e-10	-0.99264896	-0.08310261	0.0011662923
9.700885298297e-10	-0.99324673	-0.09229442	0.007902153
9.802076213291568e-10	-0.9931787	-0.089422256	0.017050521
9.900251078181067e-10	-0.99331325	-0.076467246	0.024817152
1e-09	-0.9933673	-0.05763858	0.028761445
