# t (s)	mx ()	my ()	mz ()
0	1	0	0
1.0081043568178456e-11	0.99912655	-0.0225247	-0.0012851007
2.0139106232359734e-11	0.99594444	-0.042767532	-0.004687057
3.024727703444943e-11	0.9913666	-0.057437457	-0.009863085
4.02352494844306e-11	0.98961765	-0.064063706	-0.015901918
5.007400577136127e-11	0.99232024	-0.06190167	-0.02203732
6.017445550356426e-11	0.99634415	-0.050235927	-0.027969502
7.011803790939863e-11	0.998193	-0.02995241	-0.03271674
8.004385777836995e-11	0.997904	-0.0030003588	-0.035568375
9.022433508975994e-11	0.9962741	0.028471868	-0.035907872
1.0011299030513297e-10	0.99238366	0.059056338	-0.033434235
1.1008051509806902e-10	0.98536944	0.08583653	-0.028391214
1.201460189248396e-10	0.9812934	0.10568012	-0.021502825
1.3021500782678864e-10	0.9849669	0.115815744	-0.013588917
1.4008501911171137e-10	0.9895681	0.11390437	-0.0056286957
1.5010396131111008e-10	0.9891097	0.09953255	0.0016499825
1.6022407098946507e-10	0.9899532	0.07492776	0.0073584113
1.70056660662622e-10	0.9941645	0.043944284	0.011157835
1.8020474153313476e-10	0.9907255	0.0070305197	0.012493195
1.9004438099203917e-10	0.97990847	-0.029367343	0.010584091
2.0001837031465235e-10	0.9750536	-0.06403835	0.0059226323
2.1017762134320844e-10	0.9800468	-0.09442309	-0.00086325617
2.2014247087921469e-10	0.9829642	-0.11467306	-0.0084912265
2.302433430054767e-10	0.9787672	-0.12185452	-0.015575154
2.4011162280009094e-10	0.97599226	-0.119337514	-0.020497112
2.500651805040175e-10	0.97712106	-0.114703104	-0.024966573
2.6021342796232514e-10	0.97298265	-0.10622115	-0.032558683
2.7018341093563984e-10	0.9577038	-0.08430604	-0.041400094
2.8017853760921773e-10	0.95291173	-0.048275925	-0.047010854
2.9002217625118866e-10	0.97191143	-0.004891015	-0.050023496
3.000249798322517e-10	0.98132724	0.043840412	-0.053742535
3.101849792167772e-10	0.9626409	0.094101675	-0.059516825
3.201082871754805e-10	0.9344721	0.1505413	-0.06800673
3.3016812809513954e-10	0.906589	0.2319629	-0.07135866
3.4006521284827113e-10	0.8722436	0.31818387	-0.058048278
3.5004396960881255e-10	0.83333164	0.3795967	-0.031122357
3.602179950893413e-10	0.8172586	0.41514906	-0.002938788
3.7001228043186926e-10	0.84011215	0.42804933	0.022771567
3.800090445711861e-10	0.87569517	0.40305167	0.053992033
3.901964540285874e-10	0.8815987	0.31303895	0.091972165
4.0013872470260865e-10	0.85906935	0.16918994	0.12660988
4.101875073926436e-10	0.83843976	-0.011706667	0.15389451
